ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
148,131,-9,826,835,700,155,NA,0,NA,4,1,-2,658,MSP,906,0,739,NA,8,NA,ATL,NA,N95S,4,13,NW,NA,1996
115,103,5,1435,1430,1240,110,,0,0,2,21,0,1240,PHX,646,0,1405,0,10,0,OAK,0,N520,4,8,WN,0,2003
206,180,9,2051,2042,1916,206,NA,0,NA,6,8,9,1925,SNA,1205,0,1169,NA,9,NA,DFW,NA,N417A1,8,18,AA,NA,2001
140,123,11,1022,1011,700,131,,0,0,3,23,2,702,CVG,812,0,1610,0,7,0,DFW,0,N394DA,5,12,DL,0,2003
233,212,-23,1649,1712,1500,252,NA,0,NA,3,21,-4,1456,SNA,1726,0,649,NA,7,NA,ORD,NA,N5CNAA,5,16,AA,NA,1999
118,99,4,1638,1634,1541,113,,0,0,2,27,-1,1540,DEN,627,0,6554,0,3,0,FAR,0,N951SW,6,13,OO,0,2007
100,NA,3,1748,1745,1510,95,NA,0,NA,7,12,-2,1508,DSM,589,0,690,NA,3,NA,DEN,NA,NA,NA,NA,UA,NA,1989
160,142,-39,1154,1233,915,198,NA,0,NA,6,25,-1,914,MIA,1097,0,813,NA,12,NA,LGA,NA,N629AA,4,14,AA,NA,1999
51,41,4,1209,1205,1110,55,NA,0,NA,4,5,8,1118,TPA,197,0,1119,NA,12,NA,FLL,NA,N635,3,7,WN,NA,2002
83,64,-9,1035,1044,919,85,,0,0,5,16,-7,912,MSP,349,0,221,0,3,0,MDW,0,N944AT,8,11,FL,0,2007
97,88,7,1542,1535,1455,100,NA,0,NA,1,19,10,1505,ABQ,580,0,30,NA,1,NA,DAL,NA,N620,3,6,WN,NA,1998
115,NA,12,2055,2043,1757,106,NA,0,NA,5,18,3,1800,PHX,646,0,482,NA,1,NA,OAK,NA,NA,NA,NA,HP,NA,1991
87,NA,5,1607,1602,1440,82,NA,0,NA,1,7,0,1440,SFO,421,0,495,NA,6,NA,PSP,NA,NA,NA,NA,AS,NA,1993
40,28,-10,850,900,810,50,,0,0,5,7,0,810,ORF,159,0,1272,0,5,0,BWI,0,N633SW,2,10,WN,0,2004
63,45,-11,1749,1800,1650,70,,0,0,3,27,-4,1646,PHL,267,0,1465,0,12,0,PIT,0,N722UW,5,13,US,0,2006
71,42,2,1820,1818,1716,62,,0,NA,3,29,-7,1709,IAH,201,0,2842,NA,10,NA,LFT,NA,N13968,5,24,XE,NA,2008
180,158,3,2006,2003,1610,173,NA,0,NA,2,25,-4,1606,DCA,1208,0,468,NA,3,NA,IAH,NA,N17329,4,18,CO,NA,1997
119,97,-22,2258,2320,1958,142,,0,0,4,19,1,1959,JAX,817,0,168,0,4,0,IAH,0,N18622,6,16,CO,0,2007
250,233,15,1025,1010,815,235,,0,0,7,2,0,815,LAS,1521,0,880,0,11,15,MDW,0,N432,5,12,WN,0,2003
95,70,2,1037,1035,900,95,,0,0,6,31,2,902,STL,546,0,222,0,3,0,DAL,0,N322SW,4,21,WN,0,2007
269,233,48,2222,2134,1900,274,,0,6,1,4,53,1953,SFO,1846,0,157,42,8,0,ORD,0,N452UA,7,29,UA,0,2003
94,74,2,1713,1711,1545,86,,0,0,1,10,-6,1539,PHL,336,0,1238,0,12,0,RDU,0,N763US,9,11,US,0,2007
81,55,11,1127,1116,1008,68,NA,0,NA,5,28,-2,1006,PHX,338,0,204,NA,8,NA,SNA,NA,N169AW,6,20,HP,NA,1998
94,74,13,1008,955,920,95,NA,0,NA,3,20,14,934,STL,440,0,484,NA,5,NA,DTW,NA,N686,5,15,WN,NA,1998
80,64,22,1547,1525,1410,75,NA,0,NA,4,12,17,1427,OMA,423,0,332,NA,6,NA,MDW,NA,N686,8,8,WN,NA,1997
104,82,5,1412,1407,1225,102,NA,0,NA,2,5,3,1228,EWR,529,0,1123,NA,9,NA,CLT,NA,N829US,5,17,US,NA,1995
104,84,3,1137,1134,955,99,NA,0,NA,5,4,-2,953,CLE,554,0,1220,NA,7,NA,ATL,NA,N10251,6,14,CO,NA,1997
104,94,14,1654,1640,1545,115,NA,0,NA,4,7,25,1610,MDW,611,0,1377,NA,10,NA,BWI,NA,N358,4,6,WN,NA,1999
124,91,17,1154,1137,850,107,NA,0,NA,7,10,0,850,TPA,656,0,878,NA,10,NA,MEM,NA,N343NW,5,28,NW,NA,1999
84,NA,2,1519,1517,1355,82,NA,0,NA,6,28,0,1355,PVD,467,0,148,NA,3,NA,PIT,NA,NA,NA,NA,US,NA,1992
66,NA,-12,951,1003,945,78,NA,0,NA,7,5,0,945,MGM,372,0,1499,NA,7,NA,CLT,NA,NA,NA,NA,US,NA,1992
90,80,-10,1225,1235,1055,100,NA,0,NA,4,3,0,1055,OAK,543,0,1662,NA,4,NA,PDX,NA,N693,5,5,WN,NA,2003
58,49,-2,1933,1935,1835,60,NA,0,NA,6,4,0,1835,DAL,293,0,392,NA,7,NA,LBB,NA,N504,3,6,WN,NA,1998
273,231,0,610,610,2240,270,,0,0,4,12,-3,2237,JAX,2153,0,872,0,4,0,LAX,0,N3763D,19,23,DL,0,2007
72,NA,71,2134,2023,1903,80,NA,0,NA,2,11,79,2022,BTV,266,0,1288,NA,6,NA,EWR,NA,NA,NA,NA,CO,NA,1991
385,363,21,1141,1120,745,395,,0,0,6,19,31,816,SFO,2704,0,173,16,2,5,BOS,0,N649UA,6,16,UA,0,2005
76,48,11,1255,1244,1142,62,NA,0,NA,2,24,-3,1139,LIT,304,0,868,NA,11,NA,DFW,NA,N2ATAA,6,22,AA,NA,1998
50,NA,5,1150,1145,1100,45,NA,0,NA,4,19,0,1100,HOU,192,0,559,NA,11,NA,SAT,NA,NA,NA,NA,WN,NA,1992
389,369,-2,2257,2259,1920,399,,0,0,7,23,8,1928,ANC,2846,0,131,0,7,0,ORD,0,N615AS,6,14,AS,0,2006
142,121,-6,919,925,601,144,NA,0,NA,6,24,-4,557,DEN,992,0,1592,NA,8,NA,PDX,NA,N461UA,10,11,UA,NA,2002
75,61,-5,635,640,620,80,,0,0,4,19,0,620,SEA,399,0,789,0,6,0,BOI,0,N699,5,9,WN,0,2003
80,68,0,2045,2045,1925,80,NA,0,NA,5,28,0,1925,SNA,371,0,690,NA,5,NA,OAK,NA,N510,5,7,WN,NA,1999
86,70,-7,751,758,630,88,,0,0,3,25,-5,625,IAH,321,0,9552,0,5,0,SJT,0,N586SW,7,9,OO,0,2005
150,86,37,1203,1126,935,111,NA,0,NA,1,28,-2,933,DTW,594,0,476,NA,6,NA,ATL,NA,N8877Z,6,58,NW,NA,1999
126,108,0,1417,1417,1209,128,,0,0,4,31,2,1211,LAS,762,0,602,0,7,0,PDX,0,N958AS,10,8,AS,0,2003
51,NA,31,1321,1250,1151,59,NA,0,NA,3,28,39,1230,IAH,224,0,1428,NA,9,NA,DFW,NA,NA,NA,NA,DL,NA,1994
47,40,-8,2112,2120,2025,55,NA,0,NA,1,1,0,2025,SAT,248,0,173,NA,6,NA,DAL,NA,N334,2,5,WN,NA,1998
70,47,7,735,728,610,78,,0,0,2,30,15,625,IAD,288,0,7333,0,12,0,CLE,0,N706BR,7,16,DH,0,2003
71,58,-8,1113,1121,1006,75,NA,0,NA,3,9,-4,1002,PHX,355,0,2510,NA,7,NA,LGB,NA,N169AW,7,6,HP,NA,1997
98,73,86,1714,1548,1446,62,,0,0,1,20,50,1536,DFW,282,0,3406,50,3,36,LBB,0,N695AE,14,11,MQ,0,2006
139,115,-8,1822,1830,1500,150,NA,0,NA,6,13,3,1503,MCO,1005,0,929,NA,6,NA,ORD,NA,N429UA,6,18,UA,NA,1998
169,NA,-9,2341,2350,1953,177,NA,0,NA,2,2,-1,1952,IAH,1195,0,1614,NA,6,NA,SLC,NA,NA,NA,NA,DL,NA,1992
100,79,-1,1159,1200,1020,100,NA,0,NA,5,7,-1,1019,MSP,449,0,126,NA,3,NA,STL,NA,N414EA,4,17,TW,NA,1997
81,NA,2,911,909,750,79,NA,0,NA,6,22,0,750,ORD,258,0,888,NA,4,NA,STL,NA,NA,NA,NA,AA,NA,1989
76,NA,19,1549,1530,1435,55,NA,0,NA,2,13,-2,1433,FSD,197,0,152,NA,3,NA,MSP,NA,NA,NA,NA,NW,NA,1990
71,53,16,1823,1807,1641,86,,0,6,4,9,31,1712,CRP,354,0,3367,10,12,0,DFW,0,N630AE,4,14,MQ,0,2004
233,207,-4,1912,1916,1720,236,,0,0,3,25,-1,1719,SAN,1532,0,185,0,1,0,MSP,0,N541US,3,23,NW,0,2006
140,NA,120,1506,1306,1000,126,NA,0,NA,7,13,106,1146,DEN,862,0,278,NA,12,NA,LAX,NA,NA,NA,NA,UA,NA,1987
NA,NA,NA,NA,1130,1005,85,NA,1,NA,2,18,NA,NA,BWI,495,0,1162,NA,2,NA,SDF,NA,,0,0,WN,NA,2003
160,NA,4,2055,2051,1815,156,NA,0,NA,4,19,0,1815,SNA,978,0,1635,NA,8,NA,SEA,NA,NA,NA,NA,AA,NA,1993
53,NA,2,1256,1254,1205,49,NA,0,NA,1,8,-2,1203,IAD,134,0,1195,NA,5,NA,PHL,NA,NA,NA,NA,UA,NA,1989
145,117,-7,1333,1340,1110,150,NA,0,NA,3,20,-2,1108,DCA,920,0,1378,NA,11,NA,MIA,NA,N3CUAA,4,24,AA,NA,2002
80,NA,3,1632,1629,1510,79,NA,0,NA,4,23,2,1512,DCA,444,0,149,NA,5,NA,CHS,NA,NA,NA,NA,US,NA,1991
70,60,33,1553,1520,1355,85,NA,0,NA,6,19,48,1443,MCI,405,0,428,NA,1,NA,MDW,NA,N639@@,3,7,WN,NA,2002
160,NA,-4,1401,1405,1020,165,NA,0,NA,4,1,1,1021,BWI,NA,0,430,NA,2,NA,DFW,NA,NA,NA,NA,DL,NA,1990
81,NA,1,1425,1424,1305,79,NA,0,NA,6,1,-1,1304,MDW,349,0,704,NA,8,NA,MSP,NA,NA,NA,NA,NW,NA,1992
168,149,0,1758,1758,1410,168,,0,0,5,15,0,1410,MSP,1142,0,1274,0,7,0,BOI,0,N356NW,7,12,NW,0,2005
111,97,31,1526,1455,1300,115,NA,0,NA,7,5,35,1335,MDW,666,0,123,NA,10,NA,JAN,NA,N722,5,9,WN,NA,1997
57,43,-14,1957,2011,1907,64,NA,0,NA,7,27,-7,1900,STL,229,0,3147,NA,4,NA,IND,NA,N4XDAA,5,9,AA,NA,2003
53,NA,-7,2203,2210,2110,60,NA,0,NA,5,25,0,2110,PHX,256,0,1236,NA,9,NA,LAS,NA,NA,NA,NA,HP,NA,1992
67,NA,8,1912,1904,1755,69,NA,0,NA,3,27,10,1805,BUR,325,0,2457,NA,12,NA,OAK,NA,NA,NA,NA,US,NA,1989
165,NA,10,2141,2131,1734,177,NA,0,NA,5,16,22,1756,DCA,1208,0,412,NA,10,NA,IAH,NA,NA,NA,NA,CO,NA,1992
101,90,0,1600,1600,1410,110,,0,NA,1,16,9,1419,MDW,570,0,2976,NA,6,NA,BHM,NA,N387SW,4,7,WN,NA,2008
58,37,-6,931,937,840,57,,0,NA,7,20,-7,833,IAH,140,0,1758,NA,4,NA,AUS,NA,N14645,4,17,CO,NA,2008
286,222,24,1813,1749,1030,259,NA,0,NA,2,18,-3,1027,DTW,1979,0,330,NA,7,NA,LAX,NA,N508US,51,13,NW,NA,1995
130,NA,11,914,903,804,119,NA,0,NA,7,5,0,804,BNA,675,0,1159,NA,4,NA,PHL,NA,NA,NA,NA,AA,NA,1992
213,NA,1,1721,1720,1150,210,NA,0,NA,7,16,-2,1148,MSP,1578,0,602,NA,5,NA,OAK,NA,NA,NA,NA,NW,NA,1993
81,64,-10,1839,1849,1725,84,,0,0,3,28,-7,1718,LGB,402,0,201,0,11,0,RNO,0,N11194,5,12,XE,0,2007
204,NA,-3,1547,1550,1015,215,NA,0,NA,1,8,8,1023,STL,1584,0,26,NA,2,NA,BUR,NA,NA,NA,NA,TW,NA,1988
69,NA,-1,1614,1615,1505,70,NA,0,NA,2,26,0,1505,ONT,361,0,674,NA,1,NA,OAK,NA,NA,NA,NA,WN,NA,1993
35,NA,3,1130,1127,1045,42,NA,0,NA,1,24,10,1055,CLT,155,0,1475,NA,7,NA,ROA,NA,NA,NA,NA,PI,NA,1989
347,321,-2,528,530,2045,345,NA,0,NA,2,29,-4,2041,ORD,2846,0,456,NA,8,NA,ANC,NA,N513UA,10,16,UA,NA,2000
110,100,-10,1930,1940,1740,120,,0,0,1,23,0,1740,BNA,756,0,324,0,6,0,AUS,0,N371,5,5,WN,0,2003
231,211,-20,1050,1110,855,255,,0,0,3,25,4,859,PDX,1739,0,549,0,7,0,ORD,0,N412UA,2,18,UA,0,2007
151,115,10,1331,1321,1002,139,NA,0,NA,3,6,-2,1000,LGA,887,0,3140,NA,2,NA,STL,NA,N4?B??,4,32,AA,NA,2002
85,56,19,2055,2036,1910,86,NA,0,NA,5,16,20,1930,LAX,337,0,2049,NA,2,NA,SFO,NA,N399UA,8,21,UA,NA,1996
75,45,22,1140,1118,1006,72,,0,22,5,20,19,1025,PSP,261,0,2741,0,10,0,PHX,0,N918FJ,5,25,YV,0,2006
344,308,-31,2252,2323,2010,373,NA,0,NA,7,23,-2,2008,LAX,2454,0,1802,NA,9,NA,EWR,NA,N33714,17,19,CO,NA,2001
127,91,21,1938,1917,1725,112,NA,0,NA,1,16,6,1731,DTW,487,0,489,NA,9,NA,EWR,NA,N17614,8,28,CO,NA,1996
59,46,-2,1013,1015,915,60,,0,0,6,3,-1,914,ISP,220,0,1569,0,11,0,BWI,0,N784SW,3,10,WN,0,2007
37,23,-3,1219,1222,1145,37,,0,NA,2,16,-3,1142,OGG,100,0,528,NA,9,NA,HNL,NA,N475HA,4,10,HA,NA,2008
NA,NA,NA,NA,805,655,70,NA,1,NA,3,14,NA,NA,PIT,259,0,527,NA,6,NA,RIC,NA,UNKNOW,0,0,US,NA,2000
75,NA,28,1718,1650,1527,83,NA,0,NA,5,5,36,1603,SRQ,445,0,335,NA,2,NA,ATL,NA,NA,NA,NA,DL,NA,1993
172,NA,-2,1104,1106,914,172,NA,0,NA,7,31,-2,912,ABQ,1118,0,489,NA,10,NA,ORD,NA,NA,NA,NA,AA,NA,1993
